name,price,stock_quantity,description,brand
SUMO SPRAY 55GM,,2,Pain relief spray,ALKEM
L-HIST TAB,,2,Antihistamine tablet,ALKEM
L-HIST MONT TAB,,2,Antihistamine tablet,ALKEM
PLAYGARD CONDOM 3PCS,,2,Contraceptive,ALKEM
PLAYGARD CONDOM 10PCS,,2,Contraceptive,ALKEM
VENTORANZ-DX 100ML,,2,Cough syrup,ALKEM
NORFLOKEM-TZ TAB,,2,Antibiotic tablet,ALKEM
METRON-400 TAB,,2,Antibiotic tablet,ALKEM
ALCIFLOX-500,,2,Antibiotic tablet,ALKEM
QMAX 200,,2,Antibiotic tablet,ALKEM
KETOKEM SOAP,,2,Antifungal soap,ALKEM
NEW KETOKEM SHAMPOO,,2,Antifungal shampoo,ALKEM
POWERFLAM-MR TAB,,2,Pain relief tablet,ALKEM
OFLOKEM-200 (ALU-ALU),,2,Antibiotic tablet,ALKEM
BIOCOF-BR 60ML,,2,Cough syrup,BIOCHEM
BIOCOF-BR 100ML,,2,Cough syrup,BIOCHEM
BIOREX-DX 60ML,,2,Cough syrup,BIOCHEM
BIOREX-DX 100ML,,2,Cough syrup,BIOCHEM
BIOSPAS TAB,,2,Antispasmodic tablet,BIOCHEM
BIOSPAS FORTE TAB,,2,Antispasmodic tablet,BIOCHEM
BIOSPAS PLUS TAB,,2,Antispasmodic tablet,BIOCHEM
ITRACHEM 100,,2,Antifungal capsule,BIOCHEM
ITRACHEM 200,,2,Antifungal capsule,BIOCHEM
MOXIBOW 400,,2,Antibiotic tablet,BIOCHEM
BYCALVIT-B12 SYRUP,,2,Vitamin B12 syrup,BIOCHEM
FERGLOW SYRUP,,2,Iron supplement syrup,BIOCHEM
FERGLOW TAB,,2,Iron supplement tablet,BIOCHEM
PEPTILCER-DSR CAP,,2,Acid reflux capsule,BIOCHEM
BIOSPAS DROP,,2,Antispasmodic drops,BIOCHEM
BYZYME DROP,,2,Digestive enzyme drops,BIOCHEM
FERGLOW DROP,,2,Iron supplement drops,BIOCHEM
SOREXIN DROP,,2,Drops,BIOCHEM
BIOCAINE GEL,,2,Local anaesthetic gel,BIOCHEM
BIOCETAMOL DS,,2,Paracetamol syrup,BIOCHEM
LECET SYP 60ML,,2,Syrup,BIOCHEM
LECET-AM TAB,,2,Tablet,BIOCHEM
OSOLAC 100ML,,2,Lactulose syrup,BIOCHEM
OSOLAC 200ML,,2,Lactulose syrup,BIOCHEM
DICLOFEN 1ML,,2,Diclofenac injection,BIOCHEM
DICLOFEN 3ML,,2,Diclofenac injection,BIOCHEM
ONDIRON-MD,,2,Antiemetic tablet,BIOCHEM
ONDIRON DROP,,2,Antiemetic drops,BIOCHEM
PEPTILCER IV INJECTION,,2,Acid reflux injection,BIOCHEM
BIOCETAMOL DROP,,2,Paracetamol drops,BIOCHEM
BIODINE 250GM JAR,,2,Antiseptic,BIOCHEM
CLOZOL OINT,,2,Antifungal ointment,BIOCHEM
ATENOPRESS-AT,,2,Antihypertensive tablet,BIOCHEM
BIOHISTIN-8 TAB,,2,Antihistamine tablet,BIOCHEM
BIOHISTIN-16 TAB,,2,Antihistamine tablet,BIOCHEM
CINIRONE-D TAB,,2,Tablet,BIOCHEM
CLOZOL V-6 TAB,,2,Antifungal tablet,BIOCHEM
CYCLOFEN-SP TAB,,2,Pain relief tablet,BIOCHEM
DICLOFEN-50 TAB,,2,Pain relief tablet,BIOCHEM
DICLOFEN 100SR TAB,,2,Pain relief tablet,BIOCHEM
DICLOFEN-MR TAB,,2,Pain relief tablet,BIOCHEM
LECET TAB,,2,Tablet,BIOCHEM
LOSATAN-50,,2,Antihypertensive tablet,BIOCHEM
LOSATAN-AM,,2,Antihypertensive tablet,BIOCHEM
LOSATAN-H,,2,Antihypertensive tablet,BIOCHEM
MIGRON-L 30ML,,2,Syrup,BIOCHEM
MIGRON-L 60ML,,2,Syrup,BIOCHEM
ODIFEX-120,,2,Tablet,BIOCHEM
ODIFEX-180,,2,Tablet,BIOCHEM
OFLOCHEM-200 ALU/ALU,,2,Antibiotic tablet,BIOCHEM
PEPTILCER-D TAB,,2,Acid reflux tablet,BIOCHEM
PREGATRACK CARD,,2,Pregnancy tracker card,BIOCHEM
BIOCHEMDRYL 60ML,,2,Antihistamine syrup,BIOCHEM
BIOCHEMDRYL 100ML,,2,Antihistamine syrup,BIOCHEM
BIOMEZOLE-D CAPS,,2,Acid reflux capsule,BIOCHEM
MICABAL PLUS CAP,,2,Vitamin B12 capsule,BIOCHEM
RABICER-DSR CAPS,,2,Acid reflux capsule,BIOCHEM
BIODEBOL-50INJ,,2,Injection,BIOCHEM
BIOSONE-100INJ,,2,Steroid injection,BIOCHEM
BIOSTERONE DEPOT 500INJ,,2,Steroid injection,BIOCHEM
BONACORT INJ,,2,Steroid injection,BIOCHEM
DITIM-MF TAB,,2,Tablet,BIOCHEM
ETHAMO 500 TAB,,2,Antitubercular tablet,BIOCHEM
FERGLOW-S INJ,,2,Iron supplement injection,BIOCHEM
BIOFF-CX DS SYRUP,,2,Antibiotic syrup,BIOCHEM
ALKACITRAL SYRUP,,2,Antacid syrup,BIOCHEM
AMBROHIST PLUS 60ML,,2,Cough syrup,BIOCHEM
AMBROHIST PLUS 100ML,,2,Cough syrup,BIOCHEM
BYZYME 200ML,,2,Digestive enzyme syrup,BIOCHEM
DEFAC 6 TAB,,2,Steroid tablet,BIOCHEM
LIVITO 100ML,,2,Liver tonic syrup,BIOCHEM
LIVITO 200ML,,2,Liver tonic syrup,BIOCHEM
NCOLD PLUS SYRUP,,2,Cold syrup,BIOCHEM
PLEXAVIT-L 200ML,,2,Multivitamin syrup,BIOCHEM
TANCET OVAL TAB,,2,Tablet,BIOCHEM
TANCET ROUND TAB,,2,Tablet,BIOCHEM
TANCET-L TAB,,2,Tablet,BIOCHEM
BIOSCAB LOTION 100ML,,2,Antiscabies lotion,BIOCHEM
CALAGY LOTION,,2,Calamine lotion,BIOCHEM
GLIMP-M1,,2,Antidiabetic tablet,BIOCHEM
GLIMP-M2,,2,Antidiabetic tablet,BIOCHEM
GLIMP-MP 1,,2,Antidiabetic tablet,BIOCHEM
GLIMP-MP 2,,2,Antidiabetic tablet,BIOCHEM
MICABAD-OD TAB,,2,Vitamin B12 tablet,BIOCHEM
MOXILIUM-250 DT,,2,Antibiotic dispersible tablet,BIOCHEM
TELMEVAS-40 TAB,,2,Antihypertensive tablet,BIOCHEM
TELMEVAS-H TAB,,2,Antihypertensive tablet,BIOCHEM
TELMEVAS-AM TAB,,2,Antihypertensive tablet,BIOCHEM
BIOSORE GEL,,2,Topical gel,BIOCHEM
CLOSTAF,,2,Antifungal tablet,BIOCHEM
CLOSTAF-GM,,2,Antifungal cream,BIOCHEM
FLUSID CREAM,,2,Antifungal cream,BIOCHEM
FLUSID-B CREAM,,2,Antifungal cream,BIOCHEM
NO-PILE OINT,,2,Piles ointment,BIOCHEM
PODOCEF-50 SYRUP,,2,Antibiotic syrup,BIOCHEM
PODOCEF-100 DRY SYRUP,,2,Antibiotic dry syrup,BIOCHEM
PODOCEF-200 TAB,,2,Antibiotic tablet,BIOCHEM
EVERFRESH TEARS DROP,,2,Eye drops,BIOCHEM
BIOMETHRIN OINT,,2,Antiscabies ointment,BIOCHEM
TOYDOM DROP,,2,Ear drops,BIOCHEM
BIOCIL MPS (MINT),,2,Antacid syrup,BIOCHEM
BIOCIL MPS (SANUF),,2,Antacid syrup,BIOCHEM
BIOCIL MPS (ORANGE),,2,Antacid syrup,BIOCHEM
BIOCIL MPS (PINEAPPLE),,2,Antacid syrup,BIOCHEM
AMLIP-5 TAB,,2,Antihypertensive tablet,CIPLA
AMLIP-AT TAB,,2,Antihypertensive tablet,CIPLA
AZICIP 100MG SYP,,2,Antibiotic syrup,CIPLA
AZICIP 200MG SYP,,2,Antibiotic syrup,CIPLA
AZICIP 250,,2,Antibiotic tablet,CIPLA
AZICIP 500,,2,Antibiotic tablet,CIPLA
BILACIP 20 TAB,,2,Tablet,CIPLA
BILACIP-M TAB,,2,Tablet,CIPLA
BURNHEAL CREAM,,2,Burn healing cream,CIPLA
CEFASYN 250 TAB 4 PACK,,2,Antibiotic tablet,CIPLA
CEFASYN 500 TAB 4 PACK,,2,Antibiotic tablet,CIPLA
CEFASYN 500 TAB 10 PACK,,2,Antibiotic tablet,CIPLA
CEFIX 200 OVAL,,2,Antibiotic tablet,CIPLA
CEFIX 200 ROUND,,2,Antibiotic tablet,CIPLA
CEFIX-O TAB,,2,Antibiotic tablet,CIPLA
CEPHADEX-125 DT,,2,Antibiotic dispersible tablet,CIPLA
CEPHADEX-250 DT,,2,Antibiotic dispersible tablet,CIPLA
CEPHADEX 500 CAP,,2,Antibiotic capsule,CIPLA
CETCIP 10MG,,2,Antihistamine tablet,CIPLA
CETCIP-L TAB,,2,Antihistamine tablet,CIPLA
CHESTON COLD SYP,,2,Cold syrup,CIPLA
CHESTON COLD DS SYP,,2,Cold syrup,CIPLA
CHESTON COLD TAB (WHITE),,2,Cold tablet,CIPLA
CHESTON COLD TAB (BLACK),,2,Cold tablet,CIPLA
CIPCAL D3 SOFT GEL CAP 4 PACK,,2,Calcium + Vitamin D3 capsule,CIPLA
CIPCAL-500 TAB,,2,Calcium tablet,CIPLA
CIPCAL-HD TAB,,2,Calcium tablet,CIPLA
CIPCAL-XT TAB,,2,Calcium tablet,CIPLA
CIPLACEF 1GM INJ,,2,Antibiotic injection,CIPLA
CIPLACEF 1.5GM INJ,,2,Antibiotic injection,CIPLA
CIPLADINE 100ML LOTION,,2,Antiseptic lotion,CIPLA
CIPLADINE 10GM,,2,Antiseptic ointment,CIPLA
CIPLADINE 20GM,,2,Antiseptic ointment,CIPLA
CIPMOX 250 YELLOW,,2,Antibiotic capsule,CIPLA
CIPMOX 250 RED,,2,Antibiotic capsule,CIPLA
CIPMOX 500 CAP,,2,Antibiotic capsule,CIPLA
CIPZEN D,,2,Tablet,CIPLA
CLEARWAX EAR DROPS,,2,Ear drops,CIPLA
CLOCIP 75GM,,2,Antifungal cream,CIPLA
CLOCIP 100GM POWDER,,2,Antifungal powder,CIPLA
COF-RYL 100ML,,2,Cough syrup,CIPLA
COFDEX 100ML,,2,Cough syrup,CIPLA
COFSILS ORANGE JAR,,2,Throat lozenges,CIPLA
COSART-50,,2,Antihypertensive tablet,CIPLA
COSART-H,,2,Antihypertensive tablet,CIPLA
DERICIP RETARD 150,,2,Tablet,CIPLA
DERICIP RETARD 300,,2,Tablet,CIPLA
ETHAMCIP-500 TAB,,2,Antitubercular tablet,CIPLA
FERICIP-XT TAB,,2,Iron supplement tablet,CIPLA
FLUKA 150 TAB,,2,Antifungal tablet,CIPLA
FOURDERM 5GM,,2,Antifungal cream,CIPLA
FOURDERM 10GM,,2,Antifungal cream,CIPLA
FOURDERM 15GM,,2,Antifungal cream,CIPLA
FOURDERM 20GM,,2,Antifungal cream,CIPLA
GLIMDA MV-1,,2,Antidiabetic tablet,CIPLA
GLIMDA MV-2,,2,Antidiabetic tablet,CIPLA
ITRACIP 100,,2,Antifungal capsule,CIPLA
ITRACIP 200,,2,Antifungal capsule,CIPLA
ITRANOX 200,,2,Antifungal capsule,CIPLA
KETOCIP 1% SHAMPOO,,2,Antifungal shampoo,CIPLA
KETOCIP 2% SHAMPOO,,2,Antifungal shampoo,CIPLA
L-QUIN 500 TAB,,2,Antibiotic tablet,CIPLA
L-QUIN 750 TAB,,2,Antibiotic tablet,CIPLA
LEVOQUIN 500 TAB,,2,Antibiotic tablet,CIPLA
LIPVAS 10 TAB,,2,Cholesterol tablet,CIPLA
LIPVAS 20 TAB,,2,Cholesterol tablet,CIPLA
LIPVAS 40 TAB,,2,Cholesterol tablet,CIPLA
LULITEC CREAM 10GM/20GM/30GM,,2,Antifungal cream,CIPLA
MOBICAM-DT,,2,Pain relief tablet,CIPLA
MOVEX-MR TAB,,2,Pain relief tablet,CIPLA
MOVEX-SP TAB,,2,Pain relief tablet,CIPLA
MOVEX-PLUS TAB,,2,Pain relief tablet,CIPLA
PANTOSEC-DSR CAP,,2,Acid reflux capsule,CIPLA
NEW POWERGYL SYP,,2,Antiprotozoal syrup,CIPLA
OFLOX OZ SYP,,2,Antibiotic syrup,CIPLA
NICIP 100,,2,Pain relief tablet,CIPLA
NICIP DS TAB,,2,Pain relief tablet,CIPLA
NICIP COLD N FLU TAB,,2,Cold & flu tablet,CIPLA
NICIP MD TAB,,2,Pain relief tablet,CIPLA
NICIP PLUS TAB,,2,Pain relief tablet,CIPLA
NODARD PLUS TAB,,2,Pain relief tablet,CIPLA
NOVACLAV 625 TAB (10 PACK),,2,Antibiotic tablet,CIPLA
NOVACLAV 625 (20*6 PACK),,2,Antibiotic tablet,CIPLA
OMNICLAV 625 (20*6 PACK),,2,Antibiotic tablet,CIPLA
OKACET TAB,,2,Antihistamine tablet,CIPLA
OKACET-L TAB,,2,Antihistamine tablet,CIPLA
NEW OKACET TAB,,2,Antihistamine tablet,CIPLA
OKAMET 500,,2,Antidiabetic tablet,CIPLA
OLOX 200 TAB,,2,Antibiotic tablet,CIPLA
OLOX OZ TAB,,2,Antibiotic tablet,CIPLA
OMNIGEL 10GM/20GM/30GM/50GM/75GM,,2,Pain relief gel,CIPLA
OMNIGEL SPRAY 20GM/35GM/55GM/75GM,,2,Pain relief spray,CIPLA
ORS LIQUID ORANGE/APPLE/MIX FRUIT,,2,Oral rehydration solution,CIPLA
PANTOSEC 40,,2,Acid reflux tablet,CIPLA
PANTOSEC-D TAB,,2,Acid reflux tablet,CIPLA
PARACIP-125MG SYP,,2,Paracetamol syrup,CIPLA
PARACIP-250MG SYP,,2,Paracetamol syrup,CIPLA
PARACIP 500 TAB,,2,Paracetamol tablet,CIPLA
PARACIP-650 TAB,,2,Paracetamol tablet,CIPLA
PARACIP DROP,,2,Paracetamol drops,CIPLA
PODOCIP 200,,2,Antibiotic tablet,CIPLA
RABESEC-20,,2,Acid reflux tablet,CIPLA
RABESEC-DSR CAP,,2,Acid reflux capsule,CIPLA
REACTIN-100SR,,2,Pain relief tablet,CIPLA
REACTIN PLUS TAB RED/WHITE,,2,Pain relief tablet,CIPLA
REXCOF DX 60ML/100ML,,2,Cough syrup,CIPLA
REXCOF LS 100ML,,2,Cough syrup,CIPLA
SPASMONIL TAB,,2,Antispasmodic tablet,CIPLA
SPASMONIL PLUS TAB,,2,Antispasmodic tablet,CIPLA
SUHAGRA 100 TAB,,2,Erectile dysfunction tablet,CIPLA
TADACIP TAB,,2,Erectile dysfunction tablet,CIPLA
TENEPLA 20,,2,Antidiabetic tablet,CIPLA
TENEPLA M-500,,2,Antidiabetic tablet,CIPLA
TENEPLA M-1000,,2,Antidiabetic tablet,CIPLA
VOMISTOP TAB,,2,Antiemetic tablet,CIPLA
ROKO CAPS,,2,Capsule,CIPLA
ABD SUSP,,2,Anthelmintic suspension,INTAS
ABD PLUS SUSP,,2,Anthelmintic suspension,INTAS
ABD 400 TAB,,2,Anthelmintic tablet,INTAS
ABD PLUS TAB,,2,Anthelmintic tablet,INTAS
APP PLUS SYP 200ML,,2,Appetite syrup,INTAS
APP UP TAB,,2,Appetite tablet,INTAS
APP UP SYP 200ML,,2,Appetite syrup,INTAS
AZINTAS 250 TAB,,2,Antibiotic tablet,INTAS
AZINTAS 500 TAB,,2,Antibiotic tablet,INTAS
CALGEL CAP,,2,Calcium capsule,INTAS
CANDITAS-V GEL,,2,Antifungal vaginal gel,INTAS
CEROXITUM-500 4TAB,,2,Antibiotic tablet,INTAS
CEROXITUM-500 10TAB,,2,Antibiotic tablet,INTAS
DECA-INSTABOLIN 50MG INJ,,2,Anabolic steroid injection,INTAS
EMENORM 2ML,,2,Injection,INTAS
EMENORM 10ML,,2,Injection,INTAS
FOLITAS TAB,,2,Folic acid tablet,INTAS
HB UP TONIC 200ML,,2,Haemoglobin tonic,INTAS
INTACID MPS MINT,,2,Antacid suspension,INTAS
INTAGESIC 1ML,,2,Pain relief injection,INTAS
INTAGESIC-P TAB,,2,Pain relief tablet,INTAS
INTAGESIC-MR TAB,,2,Pain relief tablet,INTAS
INTAZIN-LDN TAB,,2,Tablet,INTAS
KUFF-Q DX TAB,,2,Cough tablet,INTAS
KUFFDRYL 100ML,,2,Cough syrup,INTAS
LACTOLUS-DS TAB,,2,Laxative tablet,INTAS
NEW NIMUCET 60ML SYP,,2,Pain relief syrup,INTAS
NICEF-100DT TAB,,2,Antibiotic dispersible tablet,INTAS
NICEF-200 DT TAB,,2,Antibiotic dispersible tablet,INTAS
NIMUCET TAB,,2,Pain relief tablet,INTAS
NIMUCET GOLD TAB 30*10,,2,Pain relief tablet,INTAS
NIMUCET GOLD TAB 70*10,,2,Pain relief tablet,INTAS
OFLOTAS-MZ SYP,,2,Antibiotic syrup,INTAS
OFLOTAS-OZ TAB,,2,Antibiotic tablet,INTAS
OMEY-DM CAP,,2,Acid reflux capsule,INTAS
PROTITAS-220GM CHOCOLATE,,2,Protein supplement,INTAS
RANLOC INJ 2ML,,2,Injection,INTAS
RATIO-D TAB,,2,Tablet,INTAS
RATIO-DP TAB,,2,Tablet,INTAS
SOREGEL CREAM,,2,Topical cream,INTAS
BECOTAB NF TAB,,2,Vitamin B complex tablet,INTAS
CHYMOTAS-FORTE TAB,,2,Enzyme tablet,INTAS
PIROXITAS INJ,,2,Pain relief injection,INTAS
PIROXITAS-DT TAB,,2,Pain relief tablet,INTAS
KUFF-D NF 100ML,,2,Cough syrup,INTAS
L-ZINE TAB,,2,Antihistamine tablet,INTAS
MECOFOL PLUS CAP,,2,Vitamin B12 capsule,INTAS
MECOFOL PLUS INJ 2ML,,2,Vitamin B12 injection,INTAS
MECOFOL-OD TAB,,2,Vitamin B12 tablet,INTAS
MEGAMENTIN 625 TAB 6 PACK,,2,Antibiotic tablet,INTAS
MOXINTA-CLAV 625 TAB 10 PACK,,2,Antibiotic tablet,INTAS
MILFAMIN PLUS SYP,,2,Multivitamin syrup,INTAS
MONTAS-L TAB 10 TAB,,2,Antiallergic tablet,INTAS
MONTAS-L TAB 15TAB,,2,Antiallergic tablet,INTAS
MONTAS-AB TAB,,2,Antiallergic tablet,INTAS
MONTAS-FX TAB,,2,Antiallergic tablet,INTAS
MONTAS-L KID TAB,,2,Antiallergic tablet (paediatric),INTAS
MONTAS-L 30ML,,2,Antiallergic syrup,INTAS
MONTAS-L 60ML,,2,Antiallergic syrup,INTAS
MULTICAINE GEL,,2,Local anaesthetic gel,INTAS
ONDET 2ML,,2,Antiemetic injection,INTAS
ONDET 10ML,,2,Antiemetic injection,INTAS
NOZECLEAR DROP,,2,Nasal drops,INTAS
ONDET MD TAB,,2,Antiemetic tablet,INTAS
PREGVOM TAB,,2,Antiemetic tablet (pregnancy),INTAS
PREGVOM PLUS TAB,,2,Antiemetic tablet (pregnancy),INTAS
SPAZ TAB,,2,Antispasmodic tablet,INTAS
THROMBOTAS CREAM,,2,Topical cream,INTAS
TRANTAS-EM TAB,,2,Tablet,INTAS
TRANTAS-MF TAB,,2,Tablet,INTAS
CALCITAS-D TAB 20*15,,2,Calcium + Vitamin D tablet,INTAS
CALCITAS-D3 CAP 20*4,,2,Calcium + Vitamin D3 capsule,INTAS
CALCITAS SACHET,,2,Calcium sachet,INTAS
CALCITAS D3 DROP,,2,Calcium + Vitamin D3 drops,INTAS
FCN 150 TAB,,2,Antifungal tablet,INTAS
FCN 200 TAB,,2,Antifungal tablet,INTAS
GEL MPS MINT,,2,Antacid gel,INTAS
INTACAINE JELLY,,2,Local anaesthetic jelly,INTAS
INTACOXIA-60 TAB,,2,Pain relief tablet,INTAS
INTACOXIA-90 TAB,,2,Pain relief tablet,INTAS
INTACOXIA-120 TAB,,2,Pain relief tablet,INTAS
INTACOXIA-MR TAB,,2,Pain relief tablet,INTAS
INTACOXIA-P TAB,,2,Pain relief tablet,INTAS
KUFFTAS-LS 100ML,,2,Cough syrup,INTAS
METHYGENE TAB,,2,Tablet,INTAS
NIMUCET-MF SYP,,2,Pain relief syrup,INTAS
NIZOL TAB,,2,Antifungal tablet,INTAS
PCM 2ML INJ,,2,Paracetamol injection,INTAS
PREVENT-N TAB,,2,Tablet,INTAS
ZIN SYP 60ML,,2,Zinc syrup,INTAS
DORINTA INJ,,2,Injection,INTAS
BECMET-N 15GM,,2,Topical cream,IND SWIFT
CLOBENATE-GM 10GM,,2,Antifungal cream,IND SWIFT
CLOBENATE-GM 20GM,,2,Antifungal cream,IND SWIFT
NEO BECMET-CG 10GM,,2,Topical cream,IND SWIFT
NEO BECMET-CG 20GM,,2,Topical cream,IND SWIFT
OVIDINE 15GM,,2,Antiseptic cream,IND SWIFT
ADVANCED C-TIN PLUS TAB,,2,Vitamin C tablet,IND SWIFT
ROXY-150 TAB,,2,Antibiotic tablet,IND SWIFT
NEW AMYCLOX-LB CAP,,2,Antibiotic capsule,IND SWIFT
N-VIT CAP,,2,Multivitamin capsule,IND SWIFT
CAFZONE 1GM INJECTION,,2,Antibiotic injection,IND SWIFT
CAFZONE SB1.5GM INJECTION,,2,Antibiotic injection,IND SWIFT
DICOLIV-MR TAB,,2,Pain relief tablet,IND SWIFT
CLAV-DEN DS SYRUP,,2,Antibiotic syrup,IND SWIFT
VIGORE 100,,2,Erectile dysfunction tablet,ZYDUS/CADILA
VIGORE 50,,2,Erectile dysfunction tablet,ZYDUS/CADILA
CADICEFT 250 INJ,,2,Antibiotic injection,ZYDUS/CADILA
CADICEFT 500 INJ,,2,Antibiotic injection,ZYDUS/CADILA
CADICEFT SB 1.5GM INJ,,2,Antibiotic injection,ZYDUS/CADILA
AMLOMED AT TAB,,2,Antihypertensive tablet,ZYDUS/CADILA
ETHAMSTAT-500 TAB,,2,Antitubercular tablet,ZYDUS/CADILA
IRAZ SHAMPOO,,2,Antifungal shampoo,ZYDUS/CADILA
TERBINAC 250 TAB,,2,Antifungal tablet,ZYDUS/CADILA
ZYBEND SYP,,2,Anthelmintic syrup,ZYDUS/CADILA
ZYBEND PLUS SYP,,2,Anthelmintic syrup,ZYDUS/CADILA
ZYPOVID 250GM JAR,,2,Antiseptic powder,ZYDUS/CADILA
ZYPOVID 100ML,,2,Antiseptic solution,ZYDUS/CADILA
ZYPOVID 500ML,,2,Antiseptic solution,ZYDUS/CADILA
DP GESIC TAB 20*10,,2,Pain relief tablet,ZYDUS/CADILA
DP GESIC TAB 120*10 PLASTIC,,2,Pain relief tablet,ZYDUS/CADILA
ZYSET DROP,,2,Eye drops,ZYDUS/CADILA
DEMISONE TAB,,2,Steroid tablet,ZYDUS/CADILA
DEXASONE 2ML,,2,Steroid injection,ZYDUS/CADILA
DEXASONE 20ML,,2,Steroid injection,ZYDUS/CADILA
GENKA 20ML,,2,Antibiotic injection,ZYDUS/CADILA
FEXIM O DRY SYRUP,,2,Antibiotic dry syrup,ZYDUS/CADILA
FEXIM OF TAB,,2,Antibiotic tablet,ZYDUS/CADILA
ITRADUS 100,,2,Antifungal capsule,ZYDUS/CADILA
ITRADUS 200,,2,Antifungal capsule,ZYDUS/CADILA
ITRADILA 100,,2,Antifungal capsule,ZYDUS/CADILA
ITRADILA 200,,2,Antifungal capsule,ZYDUS/CADILA
ALERTRIZ TAB,,2,Antihistamine tablet,ZYDUS/CADILA
SKINSHINE OINT 15GM,,2,Skin lightening ointment,ZYDUS/CADILA
CIPRODAC-250 TAB,,2,Antibiotic tablet,ZYDUS/CADILA
CIPRODAC-500 TAB,,2,Antibiotic tablet,ZYDUS/CADILA
DEXAMETHASONE (LOOSE),,2,Steroid tablet,ZYDUS/CADILA
ONVIN-4MD,,2,Antiemetic tablet,ZYDUS/CADILA
